StartTime,EndTime,MinutesAsleep,MinutesAwake,NumberOfAwakenings,TimeInBed,MinutesRemSleep,MinutesLightSleep,MinutesDeepSleep
"Sunday, 19 January 2020","Sunday, 19 January 2020",375,13,6,404,N/A,N/A,N/A
"Monday, 20 January 2020","Monday, 20 January 2020",345,44,2,389,N/A,N/A,N/A
"Tuesday, 21 January 2020","Tuesday, 21 January 2020",418,53,5,475,N/A,N/A,N/A
"Wednesday, 22 January 2020","Wednesday, 22 January 2020",352,39,3,391,N/A,N/A,N/A
"Thursday, 23 January 2020","Thursday, 23 January 2020",376,45,2,427,N/A,N/A,N/A
"Friday, 24 January 2020","Friday, 24 January 2020",241,30,2,271,N/A,N/A,N/A
"Saturday, 25 January 2020","Saturday, 25 January 2020",428,12,11,440,N/A,N/A,N/A
"Saturday, 25 January 2020","Saturday, 25 January 2020",85,2,2,87,N/A,N/A,N/A
"Sunday, 26 January 2020","Sunday, 26 January 2020",164,19,1,185,N/A,N/A,N/A
"Sunday, 26 January 2020","Sunday, 26 January 2020",149,4,4,153,N/A,N/A,N/A
"Monday, 27 January 2020","Monday, 27 January 2020",411,7,4,418,N/A,N/A,N/A
"Tuesday, 28 January 2020","Tuesday, 28 January 2020",271,29,2,300,N/A,N/A,N/A
"Wednesday, 29 January 2020","Wednesday, 29 January 2020",474,57,3,531,N/A,N/A,N/A
"Thursday, 30 January 2020","Thursday, 30 January 2020",387,45,1,435,N/A,N/A,N/A
"Friday, 31 January 2020","Friday, 31 January 2020",198,4,3,202,N/A,N/A,N/A
"Saturday, 1 February 2020","Saturday, 1 February 2020",295,20,2,316,N/A,N/A,N/A
"Saturday, 1 February 2020","Saturday, 1 February 2020",101,11,1,112,N/A,N/A,N/A
"Sunday, 2 February 2020","Sunday, 2 February 2020",341,38,4,393,N/A,N/A,N/A
"Monday, 3 February 2020","Monday, 3 February 2020",428,37,3,470,N/A,N/A,N/A
"Tuesday, 4 February 2020","Tuesday, 4 February 2020",419,42,1,462,N/A,N/A,N/A
"Wednesday, 5 February 2020","Wednesday, 5 February 2020",415,46,4,461,N/A,N/A,N/A
"Thursday, 6 February 2020","Thursday, 6 February 2020",334,49,3,383,N/A,N/A,N/A
"Friday, 7 February 2020","Friday, 7 February 2020",400,13,10,413,N/A,N/A,N/A
"Saturday, 8 February 2020","Saturday, 8 February 2020",363,6,4,369,N/A,N/A,N/A
"Sunday, 9 February 2020","Sunday, 9 February 2020",412,55,5,472,N/A,N/A,N/A
"Monday, 10 February 2020","Monday, 10 February 2020",363,15,8,378,N/A,N/A,N/A
"Tuesday, 11 February 2020","Tuesday, 11 February 2020",322,44,2,366,N/A,N/A,N/A
"Wednesday, 12 February 2020","Wednesday, 12 February 2020",282,29,1,311,N/A,N/A,N/A
"Wednesday, 12 February 2020","Wednesday, 12 February 2020",89,14,2,103,N/A,N/A,N/A
"Thursday, 13 February 2020","Thursday, 13 February 2020",275,21,4,303,N/A,N/A,N/A
"Friday, 14 February 2020","Friday, 14 February 2020",461,50,0,512,N/A,N/A,N/A
"Saturday, 15 February 2020","Saturday, 15 February 2020",85,2,2,87,N/A,N/A,N/A
"Saturday, 15 February 2020","Saturday, 15 February 2020",233,17,0,250,N/A,N/A,N/A
"Sunday, 16 February 2020","Sunday, 16 February 2020",373,28,2,401,N/A,N/A,N/A
"Sunday, 16 February 2020","Sunday, 16 February 2020",114,0,0,114,N/A,N/A,N/A
"Monday, 17 February 2020","Monday, 17 February 2020",376,32,1,408,N/A,N/A,N/A
"Tuesday, 18 February 2020","Tuesday, 18 February 2020",323,31,2,356,N/A,N/A,N/A
"Thursday, 20 February 2020","Thursday, 20 February 2020",133,9,0,142,N/A,N/A,N/A
"Friday, 21 February 2020","Friday, 21 February 2020",402,4,0,415,N/A,N/A,N/A
"Friday, 21 February 2020","Friday, 21 February 2020",89,10,2,99,N/A,N/A,N/A
"Saturday, 22 February 2020","Saturday, 22 February 2020",307,41,2,348,N/A,N/A,N/A
"Saturday, 22 February 2020","Saturday, 22 February 2020",154,3,3,157,N/A,N/A,N/A
"Sunday, 23 February 2020","Sunday, 23 February 2020",398,12,3,411,N/A,N/A,N/A
"Sunday, 23 February 2020","Sunday, 23 February 2020",77,3,3,80,N/A,N/A,N/A
"Monday, 24 February 2020","Monday, 24 February 2020",234,20,1,254,N/A,N/A,N/A
